f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1 8.72665e-08 90 1 0 0.0034379 -179.999 1.00002 -3.4081e-08 1 0 0.00156701 9.11639e-06 0.891346 -1.63614e-08 0 0 0.00175019 -179.999 0.0015233 -179.999 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00143862 0.00171162 -179.999 0 0 0 0 0 0 2.2402e-15 90 3.82846e-18 -89.9986 2.17856e-14 -90 4.30178e-18 -89.9986 3.21402e-07 180 
1.02353 8.93199e-08 90 1 0 0.0034379 -179.999 1.00002 -3.4883e-08 1 0 0.00156701 9.33091e-06 0.891346 -1.67464e-08 0 0 0.00175019 -179.999 0.0015233 -179.999 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00147248 0.00171162 -179.999 0 0 0 0 0 0 2.29291e-15 90 3.91855e-18 -89.9985 2.22983e-14 -90 4.40301e-18 -89.9985 3.21402e-07 180 
1.04762 9.14217e-08 90 1 0 0.0034379 -179.998 1.00002 -3.57038e-08 1 0 0.00156701 9.55047e-06 0.891346 -1.71404e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00150713 0.00171162 -179.998 0 0 0 0 0 0 2.34687e-15 90 4.01076e-18 -89.9985 2.2823e-14 -90 4.50661e-18 -89.9985 3.21402e-07 180 
1.07227 9.3573e-08 90 1 0 0.0034379 -179.998 1.00002 -3.6544e-08 1 0 0.00156701 9.77521e-06 0.891346 -1.75438e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00154259 0.00171162 -179.998 0 0 0 0 0 0 2.40209e-15 90 4.10514e-18 -89.9985 2.336e-14 -90 4.61266e-18 -89.9985 3.21402e-07 180 
1.0975 9.57748e-08 90 1 0 0.0034379 -179.998 1.00002 -3.74039e-08 1 0 0.00156701 1.00052e-05 0.891346 -1.79566e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00157889 0.00171162 -179.998 0 0 0 0 0 0 2.45861e-15 90 4.20173e-18 -89.9984 2.39097e-14 -90 4.7212e-18 -89.9984 3.21402e-07 180 
1.12332 9.80285e-08 90 1 0 0.0034379 -179.998 1.00002 -3.8284e-08 1 0 0.00156701 1.02407e-05 0.891346 -1.83791e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00161604 0.00171162 -179.998 0 0 0 0 0 0 2.51647e-15 90 4.30061e-18 -89.9984 2.44723e-14 -90 4.8323e-18 -89.9984 3.21402e-07 180 
1.14976 1.00335e-07 90 1 0 0.0034379 -179.998 1.00002 -3.91849e-08 1 0 0.00156701 1.04816e-05 0.891346 -1.88116e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00165407 0.00171162 -179.998 0 0 0 0 0 0 2.57568e-15 90 4.4018e-18 -89.9983 2.50482e-14 -90 4.946e-18 -89.9983 3.21402e-07 180 
1.17681 1.02696e-07 90 1 0 0.0034379 -179.998 1.00002 -4.01069e-08 1 0 0.00156701 1.07283e-05 0.891346 -1.92543e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00169299 0.00171162 -179.998 0 0 0 0 0 0 2.63629e-15 90 4.50538e-18 -89.9983 2.56376e-14 -90 5.06239e-18 -89.9983 3.21402e-07 180 
1.2045 1.05113e-07 90 1 0 0.0034379 -179.998 1.00002 -4.10507e-08 1 0 0.00156701 1.09807e-05 0.891346 -1.97074e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.00173283 0.00171162 -179.998 0 0 0 0 0 0 2.69833e-15 90 4.6114e-18 -89.9983 2.62409e-14 -90 5.18151e-18 -89.9983 3.21402e-07 180 
1.23285 1.07586e-07 90 1 0 0.0034379 -179.998 1.00002 -4.20167e-08 1 0 0.00156701 1.12391e-05 0.891346 -2.01711e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155493 -180 1 0 0.0015547 180 0.0017366 0.0017736 0.00171162 -179.998 0 0 0 0 0 0 2.76182e-15 90 4.71991e-18 -89.9982 2.68583e-14 -90 5.30344e-18 -89.9982 3.21402e-07 180 
